fh,polarization,centralFreq,Int000,Int001,S100,S010,S001,S200,S110,S101,S020,S011,S002
4,A,143000,0.9993921145387077,0.9987091196047486,0.0006870198258724997,-3.940769322890097e-05,0.9993918776200565,0.0005194645596090778,-1.575776260764256e-05,0.00023433018900951728,0.00027334342184584065,-3.2440992381700024e-05,0.9992071920185446
4,B,143000,0.9993736904260725,0.9987374367910549,0.0006915361416752744,-3.193816070708162e-05,0.999373450654732,0.0005292281560770861,-1.6244529320739914e-05,0.00022504484534537848,0.00028549017091685907,-2.3644171211877872e-05,0.9991852816730058
5,,143000,0.9986181654851244,0.9973633948956179,0.001487936224951871,1.115823370953417e-05,0.9986170569132893,0.0011775217013400862,-9.964573087933474e-07,0.0004269495469633847,0.000572245831636358,5.02622433804629e-05,0.9982502324670224
6,,143000,0.9986097167671711,0.9973866410722335,0.0014901732399028923,6.485799361265201e-06,0.9986086048915557,0.0011927877395105488,-1.2758765129334897e-06,0.0004133230135637118,0.0005587585586239367,1.7234376363535103e-05,0.9982484537018659
7,,143000,0.9986036585360029,0.9973813455883065,0.0014999774661573165,5.636655327197302e-06,0.9986025319802263,0.0012000504819319948,1.2939683025859473e-06,0.00041776940416506255,0.0005598062079971255,-5.999472476354388e-06,0.99824014331007
5,A,217000,0.9994226983460046,0.9988945507568631,0.0006750802172254154,1.385447656771787e-05,0.9994224702516762,0.0005357920680839052,3.046549264506296e-05,0.00021904311555859542,0.00020890952198917033,-9.062615357937297e-06,0.9992552984099263
5,B,217000,0.9994380421559457,0.9989241344240771,0.0006569120934105904,2.1533660110110723e-05,0.9994378260358734,0.0005240324199988236,2.347712419635113e-05,0.00021099467537919972,0.00019862728556352502,-9.596305638357794e-07,0.9992773402944369
6,A,217000,0.9994315835530069,0.9989094556192001,0.0006578875234705983,2.8181159905737724e-06,0.9994313670179337,0.0005285843497099817,1.4185233894732806e-05,0.00020807190996236018,0.00020378584887946062,-5.917287092255902e-06,0.999267629801411
6,B,217000,0.9994360691620808,0.9989218886784864,0.0006519675077640667,-1.1759344245713165e-05,0.9994358564421422,0.0005249823882125774,9.908367410059398e-06,0.0002047968723331352,0.00020013284775038655,-2.34291478595927e-05,0.9992748847640364
7,A,217000,0.999419751406091,0.9988770205601657,0.0006800238581536062,-2.0775582883618952e-05,0.9994195198396618,0.0005518621360571148,-1.0200676589820562e-05,0.0002151147475772733,0.00019478462447193416,-1.2669031040380403e-05,0.9992533532394702
7,B,217000,0.9994410566778735,0.9989556659523188,0.0006338278310546476,-1.2753350613337223e-05,0.9994408556152871,0.0005087674734298383,-9.43262368498701e-06,0.00019560627704148987,0.00021031855733013593,-4.910881877790108e-06,0.9992809139692399
8,A,217000,0.999420804784206,0.998868752278722,0.000684495223363844,-4.322742036027584e-05,0.9994205694467116,0.0005492400470195019,-2.810341422271965e-05,0.00022170469632768532,0.00019702036629735297,-1.988890091352362e-05,0.9992537395866821
8,B,217000,0.9994417084795569,0.9989521604641189,0.0006380024677091942,-3.223842626104787e-05,0.9994415043223244,0.0005073075932753901,-2.725550128669642e-05,0.00020093377992267224,0.00021141778072491675,-8.980450022108293e-06,0.9992812746260002
1,,217000,0.9983652717054433,0.9969980977783063,0.0019428900771327302,-2.493312693466505e-05,0.9983633808909315,0.0015515904673357485,1.4694016451313832e-05,0.000611821148280698,0.0005206062153895511,-2.0799374725056647e-05,0.9979278033172744
2,,217000,0.9983671026674524,0.9970124987116795,0.0019302291741825348,-7.908397052088244e-06,0.9983652366951665,0.0015495456312679518,4.877483050699066e-06,0.0005975930987566132,0.0005152576400243078,-6.619825260613826e-06,0.9979351967287079
3,,217000,0.9983602048821543,0.9970007038285281,0.00193846596684889,5.884525281683564e-06,0.9983583229519374,0.001556386130193758,-1.5953962079339984e-06,0.0006003557211511693,0.0005175856477745398,1.3555255406028502e-06,0.9979260282220318
4,,217000,0.998366848806765,0.997003681433421,0.0019372714125761143,1.8433082519771514e-05,0.998364969054927,0.0015490616100101123,-1.3667823804550514e-05,0.0006076381990941341,0.0005206588479603991,1.288532585806419e-05,0.9979302795420292
3,A,353000,0.9999119832466482,0.9998464404772487,7.317895451289178e-05,4.785610699503141e-06,0.9999119805573808,8.303175960167152e-05,-3.23943521084548e-07,8.987867258166812e-07,2.6678912465107735e-05,6.075485590094464e-06,0.9998902893279341
3,B,353000,0.9999120922432171,0.9998467474364496,7.371503811511872e-05,-2.40039648567045e-06,0.9999120895231436,8.315007801218006e-05,1.1771115604616591e-06,1.3876019017721189e-06,2.6379707261013453e-05,-2.9022886894457787e-06,0.9998904702147258
